186.0,199.2,216.0,229.6,219.20000000000002,221.60000000000002,213.20000000000002,246.8
174.4,186,202.4,215.20000000000002,204.8,207.20000000000002,200,231.2
168.4,180.4,195.6,208,198.4,200.8,193.2,223.60000000000002
164.79999999999998,176.4,191.6,203.2,194.4,196.4,189.2,218.8
162,172.8,187.6,200,190.39999999999998,192.4,185.20000000000002,214.4
158.4,169.2,183.6,195.6,186,188.39999999999998,181.6,209.60000000000002
154,164.79999999999998,178.8,190.39999999999998,181.6,183.6,176.8,204.4
150.4,161.20000000000002,174.8,186,177.2,179.20000000000002,172.4,199.6
165.6,177.6,192.79999999999998,204.8,195.6,197.6,190,220.4
180,192.79999999999998,209.20000000000002,222.40000000000003,212,214.4,206.4,239.2
177.2,188.79999999999998,205.6,219.20000000000002,208.4,210.8,203.2,235.2
175.6,187.6,203.6,216.8,206.4,208.8,201.2,232.79999999999998
173.6,185.60000000000002,202,214.4,204.4,206.8,199.2,230.39999999999998
172,184,199.6,212.4,202.4,204.8,197.2,227.99999999999997
169.6,181.6,196.8,209.60000000000002,200,202.4,194.79999999999998,224.8
167.6,179.20000000000002,194.79999999999998,206.8,197.2,199.6,192,222.40000000000003
177.2,189.2,205.6,218.8,208.4,210.8,202.8,234.79999999999998
170.4,182.8,198.4,210.8,200.8,203.2,195.6,226.39999999999998
164.79999999999998,176.4,191.2,203.2,194,196.4,188.79999999999998,218.8
158.8,170,184.4,196.4,186.8,189.2,182.4,210.8
152.4,162.79999999999998,176.8,188,179.6,181.6,174.8,202
146.4,157.20000000000002,170.4,181.20000000000002,172.8,174.8,168.4,194.79999999999998
140.79999999999998,151.2,163.6,174.8,166,168,162,187.6
140.79999999999998,150.4,163.2,174.4,165.6,167.6,161.60000000000002,187.20000000000002
185.60000000000002,198.8,216,229.6,218.8,221.60000000000002,213.20000000000002,246.4
