186.0,200.8,220.00000000000003,231.99999999999997,220.8,225.99999999999997,217.20000000000002,249.6
174.4,188.39999999999998,206,218.00000000000003,206.8,211.60000000000002,204,234.79999999999998
168.79999999999998,182.8,200,210.8,200.4,205.20000000000002,197.2,227.2
165.2,178.8,195.6,206.4,196.4,200.8,192.79999999999998,222.40000000000003
162.4,175.2,191.6,202.8,192.4,196.8,189.2,218.00000000000003
158.4,171.6,187.6,198.4,188.39999999999998,192.79999999999998,185.60000000000002,213.60000000000002
154.4,167.2,183.20000000000002,193.2,183.6,187.6,180.8,208
150.8,163.6,178.8,188.79999999999998,179.6,183.6,176.4,203.6
166,180,196.8,207.6,197.2,202,194,224.00000000000003
180.4,194.79999999999998,213.20000000000002,224.8,213.60000000000002,218.8,210,242.79999999999998
177.2,191.6,210,221.60000000000002,210.4,215.60000000000002,206.8,238.79999999999998
175.6,189.6,207.6,219.60000000000002,208.4,213.20000000000002,205.20000000000002,236.39999999999998
173.6,188,205.6,217.20000000000002,206,211.20000000000002,203.2,234
172,186,203.6,215.20000000000002,204.4,208.8,200.8,231.6
169.6,184,201.2,212.4,202,206,198.4,228.79999999999998
167.6,181.6,198.8,209.60000000000002,199.2,204,196,225.59999999999997
177.2,191.2,209.60000000000002,221.60000000000002,210,215.20000000000002,206.8,238.39999999999998
170.79999999999998,184.8,202.4,213.60000000000002,203.2,207.6,199.6,229.99999999999997
164.79999999999998,178.8,195.6,206.4,196,200.8,192.79999999999998,222.40000000000003
159.20000000000002,172.4,188.39999999999998,199.2,189.2,193.6,186,214.4
152.8,165.2,181.20000000000002,191.2,181.6,185.60000000000002,178.8,205.6
147.2,159.60000000000002,174.4,184.4,175.2,179.20000000000002,172.4,198.4
141.6,153.6,168,177.6,168.4,172.4,165.6,191.2
141.2,153.2,167.2,177.2,168,172,165.2,190.79999999999998
186,200.8,220.4,231.99999999999997,220.8,225.99999999999997,217.20000000000002,250
